"","worker_id","one","two","three"
"109","A2K12Y7EY4S1IL",NA,NA,NA
"110","A2L366NNL1YG5W",NA,NA,NA
"111","A2L4RO3TES1WIY",NA,NA,NA
"112","A2LXTAVRLL8GY5",NA,NA,NA
"113","A2M4KEWDEE7LYY",NA,NA,0.882352941176471
"114","A2MLO81YDMGRKX",NA,NA,NA
"115","A2MRJX1DSC99Y9",NA,NA,0.882352941176471
"116","A2NQO3JAPV0MUQ",NA,NA,0.823529411764706
"117","A2OA40985FQ5OU",NA,NA,NA
"118","A2PRF5G21RC5G3",NA,NA,0.705882352941177
"119","A2QIZ31TMHU0GD",NA,NA,NA
"120","A2QPMJ4GADLUW2",NA,NA,NA
"121","A2RQJBT7SZMBV7",NA,NA,NA
"122","A2SC6UVH1MJ9OE",NA,NA,NA
"123","A2T5YVU37RBCCP",NA,NA,NA
"124","A2TNGZPWGNQLQ ",NA,NA,NA
"125","A2U3723LKNMHAI",NA,NA,0.647058823529412
"126","A2UCY7PC4D4U9X",NA,0.647058823529412,0.941176470588235
"127","A2UTG9W67TP6HB",NA,NA,1
"128","A2V272VAW0GIPL",NA,0.470588235294118,0.882352941176471
"129","a2vxmri706cdgi",NA,0.941176470588235,0.941176470588235
"130","A2W3WLV6AU88B9",NA,NA,NA
"131","A2WN21UXDXCJY4",NA,0.764705882352941,0.647058823529412
"132","A2WS2N6YRHWUO7",NA,0.823529411764706,0.764705882352941
"133","A2X2FSQ1WEYD09",NA,NA,0.823529411764706
"134","A2XQVPDOOYHUS7",NA,0.647058823529412,0.529411764705882
"135","A2YW9LD13QKUI6",NA,NA,NA
"136","A2ZGAH6NOSU2PO",NA,NA,NA
"137","A2ZKTLWQ56QI4O",NA,NA,NA
"138","A2ZQ4UEFEECKH9",NA,NA,0.941176470588235
"139","A30AGR5KF8IEL",NA,NA,NA
"140","A31J46CL1IXDAZ",NA,0.941176470588235,0.882352941176471
"141","A345EPTA0P1Z5J",NA,NA,NA
"142","A35ARURSRU6UAZ",NA,0.941176470588235,1
"143","A36ZLUFEGBJGKA",NA,NA,NA
"144","A37CO0N1KC1CDW",NA,NA,NA
"145","A37JAONFRRB36Z",NA,NA,NA
"146","A37V2BNHM204M7",NA,NA,0.705882352941177
"147","A37X7X3HPLKX50",NA,NA,1
"148","A384RJJPFR9FWR",NA,1,0.941176470588235
"149","A39FJ7RWX4B9JZ",NA,0.941176470588235,1
"150","A3AD7HRMCBVVRZ",NA,1,1
"151","A3CEGI4XS8PT58",NA,NA,NA
"152","A3CMWYLWMENHLZ",NA,NA,NA
"153","A3CY1ZG93NXQA4",NA,0.823529411764706,0.823529411764706
"154","A3DX682PHXMXIF",NA,1,1
"155","A3ESC1H6BBKF30",NA,0.294117647058824,0.176470588235294
"156","A3ET7CEGM3WCQ3",NA,NA,1
"157","A3FPJQIREBQ8OV",NA,0.941176470588235,1
"158","A3H9XHNUS12SSA",NA,NA,NA
"159","A3HO187RYY2RCA",NA,NA,NA
"160","A3IWND8SOMMJF5",NA,0.941176470588235,0.941176470588235
"161","A3JS6HMMTPJ1FL",NA,NA,0.647058823529412
"162","A3K1PEC18VPAT8",NA,NA,0.764705882352941
"163","A3KUZ2JNKHZBQK",NA,NA,NA
"164","A3LE25XP3XK5UF",NA,NA,0.764705882352941
"165","A3MK7F6KT80AZT",NA,NA,0.588235294117647
"166","A3ML3LJ4FU7CVS",NA,NA,NA
"167","A3MOHY42B7HDWU",NA,NA,0.529411764705882
"168","A3NZDP3T7RCK9P",NA,NA,NA
"169","A3O0ZQMDKOKAMR",NA,NA,0.764705882352941
"170","A3O2RCOBSQXV3M",NA,NA,NA
"171","A3OJL45QP316O1",NA,NA,NA
"172","A3P5BJ1GA3NLBY",NA,0.941176470588235,0.941176470588235
"173","A3QB85Z1B5RQ0U",NA,NA,NA
"174","A3QDBNW2H8EMFW",NA,0.882352941176471,1
"175","A3QH4NEUUO81CX",NA,NA,NA
"176","A3QQXOVQ0YKMZF",NA,0.941176470588235,1
"177","A3R20B7QEHVL5H",NA,NA,NA
"178","A3RYI5HXC2MJLN",NA,0.941176470588235,0.882352941176471
"179","A3S8TUZ94SKSDC",NA,NA,1
"180","A3SL5QRF7MX2P1",NA,NA,0.823529411764706
"181","A3TQMAB3SC1LNU",NA,0.941176470588235,1
"182","A3U20M3KJ10B1A",NA,0.588235294117647,0.647058823529412
"183","A3UA83R6H3Y4QC",NA,NA,0.647058823529412
"184","A3UE7E3PIOZV4R",NA,NA,NA
"185","A3UKM78KPGZU4O",NA,NA,0.941176470588235
"186","A4A2TC8YA24E6",NA,NA,NA
"187","A53LV70R73Q73",NA,0.882352941176471,0.941176470588235
"188","A5A3TSXJ0HF0V",NA,0.882352941176471,0.764705882352941
"189","A5ZX7W5SUM0CO",NA,NA,NA
"190","A6CB0N28MHOD3",NA,NA,NA
"191","A6VUPM7IMOB7T",NA,0.588235294117647,0.588235294117647
"192","A798DGO5E82IF",NA,NA,NA
"193","A7FLK0E6W6O0I",NA,NA,NA
"194","A7GALBG5YTY5Z",NA,NA,NA
"195","A7I0LOTQVXFW4",NA,0.588235294117647,0.823529411764706
"196","A7SI6RWKJGHSW",NA,NA,0.882352941176471
"197","A8CR1D6TER0JY",NA,NA,1
"198","A9CD5838233ZI",NA,NA,0.941176470588235
"199","AAL0LSJYL0NBT",NA,NA,NA
"200","AAR5VQ8QIO5PC",NA,NA,NA
"201","ABI6MBRII1JVT",NA,0.941176470588235,0.941176470588235
"202","ACF8CYOJ1P4GC",NA,1,1
"203","ADAWXO0BM89BY",NA,NA,NA
"204","ADZRKPVTS0EWV",NA,NA,NA
