"","worker_id","one","two","three"
"1","A10HEV2856GIQL",0.470588235294118,NA,NA
"2","A10TT0QTE6FNQQ",1,NA,NA
"3","A10XK0DWEXO5BY",NA,0.352941176470588,NA
"4","A1131ZL7O5GM6R",NA,0.941176470588235,NA
"5","A11QDNT3W7DT7K",NA,NA,0.823529411764706
"6","A128ibd72ucel3",NA,NA,NA
"7","A12JFHCJC680PV",NA,NA,0.0588235294117647
"8","A12ZSUQS35AIM4",NA,NA,NA
"9","A1320NEHBNZ8FM",NA,NA,NA
"10","A13FA7YOB3JAYN",NA,NA,0.764705882352941
"11","A13LPB1S3H6X4G",NA,0.470588235294118,NA
"12","A13Z8G7A82NJIN",0.941176470588235,NA,NA
"13","A14QUTGEXRV4R5",0.823529411764706,NA,NA
"14","A14X9MMC9P7XI8",NA,NA,NA
"15","A15X6O2JE40VGB",NA,NA,NA
"16","A160ZTD45HEUM5",0.705882352941177,NA,NA
"17","A1689Q1Z4NNDY6",0.764705882352941,NA,NA
"18","A17VXAMGTXV1FL",NA,NA,NA
"19","A18Q2TSYBDWQU1",NA,NA,0.941176470588235
"20","A194R45ACMQEOR",NA,0.117647058823529,NA
"21","A19D4RBBDRNCUB",NA,NA,NA
"22","A1B2V27QSGPT6W",0.941176470588235,NA,NA
"23","A1B54URWGA0WFB",1,NA,NA
"24","A1BMDP2T330DY2",NA,0.941176470588235,NA
"25","A1C2LRGS40747I",NA,0.588235294117647,NA
"26","A1COU26U8QXCW9",NA,0.941176470588235,NA
"27","A1D1I8MXYZIXHW",NA,0.941176470588235,NA
"28","A1DWTWQBTQLI6I",0.117647058823529,NA,NA
"29","A1E2K9Z2G98EDK",0.941176470588235,NA,NA
"30","A1EG9WRMZL8IWK",NA,NA,NA
"31","A1EOVMNNT8Q370",NA,NA,NA
"32","A1EV66QWCULDE5",NA,NA,1
"33","A1F2QQ8D4373H1",0.588235294117647,NA,NA
"34","A1GGKOIK97TZRS",0.941176470588235,NA,NA
"35","A1HF64TV3AAOK6",NA,NA,1
"36","A1HHOCO3ZZHCJZ",0.0588235294117647,NA,NA
"37","A1J0GU26323WVA",0.882352941176471,NA,NA
"38","A1JALA705LS4VZ",NA,NA,0.823529411764706
"39","A1JG0SJHUXT1FW",NA,NA,NA
"40","A1KFTYQM1YKVOC",NA,NA,0.823529411764706
"41","A1KRYIRDA2OOWC",0.823529411764706,NA,NA
"42","A1KWFRKBCLPQXZ",NA,NA,0.176470588235294
"43","A1KXYURHCYHKOL",NA,NA,NA
"44","A1LEFMRDPX5FV",0.411764705882353,NA,NA
"45","A1LF7EXQHHM40B",0.941176470588235,NA,NA
"46","A1LHDU0RM0ZUZV",NA,0.823529411764706,NA
"47","A1LMVEWG8EJV5Q",NA,NA,0.882352941176471
"48","A1ML5W7RBHQ0DQ",NA,NA,NA
"49","A1NDM9R54FJMPW",0.882352941176471,NA,NA
"50","A1NFJUYNV8Y9E3",NA,NA,NA
"51","A1NYI79LUIBOTP",NA,NA,NA
"52","A1O3FM0MCRSQIM",NA,NA,NA
"53","A1O3ZRPQD7TVW5",NA,NA,0.882352941176471
"54","A1OKCXYMNMCRMO",NA,0.764705882352941,NA
"55","A1PGRPL918T2GQ",NA,NA,1
"56","A1Q1C5FVVYB2UX",NA,NA,NA
"57","A1QEQOI98976S0",0.823529411764706,NA,NA
"58","A1R2IY8ITXNPE4",NA,0.941176470588235,NA
"59","A1RO22O88I71FD",NA,NA,0.294117647058824
"60","A1ROEDVMTO9Y3X",0.882352941176471,NA,NA
"61","A1SNH45MEHBR5S",0.941176470588235,NA,NA
"62","A1SZ9P1ZBKYJRM",NA,0.764705882352941,NA
"63","A1U7K5FH83GZJ1",NA,NA,NA
"64","A1V6CLZZVH3PLU",NA,NA,NA
"65","A1VDET148FIJWJ",NA,NA,NA
"66","A1VJ4ZOXP9PUCP",NA,NA,NA
"67","A1W5A8Z3JUZN7S",NA,NA,NA
"68","A1X2NKJNHB1A5",NA,NA,0.882352941176471
"69","A1XKHXJ8CMIX7N",NA,NA,0.764705882352941
"70","A1Y7FXIV5IXZTT",NA,0.647058823529412,NA
"71","A1Z2XMXEZ1SEI6",NA,NA,NA
"72","A1ZWIHLL87L507",NA,0.941176470588235,NA
"73","A200H4TX468LE",NA,NA,NA
"74","A20UCVI4ST12GC",NA,NA,NA
"75","A220N98XQJ75DA",0.823529411764706,NA,NA
"76","A22GF3H0SU4ISE",NA,NA,NA
"77","A22ND8360PZYO3",NA,NA,NA
"78","A23XJ8I86R0O3B",NA,NA,NA
"79","A24DSECWUBZC0Z",NA,0.823529411764706,NA
"80","A24KXOCL89WA1U",NA,NA,0.941176470588235
"81","A2592UTCHSDXAY",0.882352941176471,NA,NA
"82","A25GK6PV0R9QBO",NA,NA,0.823529411764706
"83","A25X755IRWK2U5",NA,NA,0.941176470588235
"84","A26OJ4TA28AFHC",NA,NA,0.941176470588235
"85","A27IUQDZPHETTP",NA,NA,0.352941176470588
"86","A27XE4YPBNHMK3",0.882352941176471,NA,NA
"87","A28QM3564PH50Z",NA,1,NA
"88","A293Y9SY2ETQN5",NA,0.235294117647059,NA
"89","A298FAWY76NZA9",NA,NA,0.823529411764706
"90","A29WJ1PEV6SB06",NA,0.941176470588235,NA
"91","A2AJLPNA8VP44S",NA,0.882352941176471,NA
"92","A2BEH9YQPHKP6A",0.941176470588235,NA,NA
"93","A2C3C5E75XD165",0.941176470588235,NA,NA
"94","A2CK566Z4YFO00",NA,NA,0.882352941176471
"95","A2CSV75E3JT58Y",NA,NA,NA
"96","A2EMWGAJBN1HGE",NA,0.588235294117647,NA
"97","A2EUSYNR52LAYT",NA,NA,1
"98","A2FD9AKQ1G1FB6",0.882352941176471,NA,NA
"99","A2FE7E2IZYQALC",NA,NA,NA
"100","A2FL477TMKC91L",NA,NA,NA
"101","A2FNTELAA1018G",NA,0.235294117647059,NA
"102","A2FW27RNKPQT0Y",NA,NA,1
"103","A2GSSXKTPAEL6D",1,NA,NA
"104","A2HPE1JESQR8L9",NA,0.705882352941177,NA
"105","A2IFPAX33G7JZJ",NA,NA,0.411764705882353
"106","A2J92KPUWBO33J",NA,NA,NA
"107","A2JHF7CU91EVXW",NA,0.764705882352941,NA
"108","A2JO52BHJMCRD8",NA,NA,0.941176470588235
"109","A2K12Y7EY4S1IL",NA,NA,NA
"110","A2L366NNL1YG5W",NA,NA,0.941176470588235
"111","A2L4RO3TES1WIY",NA,NA,NA
"112","A2LXTAVRLL8GY5",NA,NA,1
"113","A2M4KEWDEE7LYY",NA,0.882352941176471,NA
"114","A2MLO81YDMGRKX",NA,NA,1
"115","A2MRJX1DSC99Y9",NA,0.705882352941177,NA
"116","A2NQO3JAPV0MUQ",NA,0.941176470588235,NA
"117","A2OA40985FQ5OU",NA,NA,NA
"118","A2PRF5G21RC5G3",NA,0.764705882352941,NA
"119","A2QIZ31TMHU0GD",NA,NA,0.0588235294117647
